PitchType,Batter,HomePlate_X,HomePlate_Y,Zone,hit_location,bb_type,balls,strikes,spray_angle,adjusted_spray_angle,x_loc,y_loc,launch_speed,launch_angle,play,swing,babip_value,woba_value,woba_denom
Four-Seam Fastball,Left,-0.90000000000000002,1.5,11,,,1,2,,,,,,,0,0,,,
Curve,Left,0.69999999999999996,-0.29999999999999999,5,,,1,1,,,,,,,0,0,,,
Curve,Left,0.5,-0.59999999999999998,14,,,0,1,,,,,,,0,0,,,
Changeup,Left,-1.8,1.6000000000000001,13,,,1,2,,,,,,,0,0,,,
Curve,Left,0.40000000000000002,-0.20000000000000001,14,,,0,2,,,,,,,0,0,,,
Curve,Left,0.59999999999999998,-0.20000000000000001,13,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.8999999999999999,2,,,0,0,,,,,,,0,1,,,
Slider,Left,0,1,8,4,Ground Ball,3,2,31.600000000000001,-31.600000000000001,72,117.2,98,-7,1,1,0,0,1
Four-Seam Fastball,Left,-1.2,1.6000000000000001,4,,,3,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8999999999999999,14,,,2,1,,,,,,,0,0,,,
Slider,Left,0.20000000000000001,1,14,,,1,1,,,,,,,0,0,,,
Curve,Left,0.5,-0.40000000000000002,11,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.7,11,,,1,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.5,11,,,0,0,,,,,,,0,0,,,
Changeup,Left,-1.7,1.1000000000000001,8,4,Ground Ball,1,1,33.899999999999999,-33.899999999999999,67.5,100.59999999999999,75,12,1,1,0,0,1
Four-Seam Fastball,Left,-1.3,1.8,13,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.8999999999999999,4,,,0,0,,,,,,,0,1,,,
Changeup,Left,-1.6000000000000001,1,9,,,0,0,,,,,,,0,0,,,
Slider,Left,-0.10000000000000001,0.59999999999999998,9,3,Ground Ball,0,1,46.899999999999999,-46.899999999999999,80.799999999999997,76.5,101,-10,1,1,0,0,1
Four-Seam Fastball,Left,-1.6000000000000001,1.3,8,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.6000000000000001,4,5,Ground Ball,1,0,31.699999999999999,-31.699999999999999,87.099999999999994,141.19999999999999,96,-7,1,1,0,0,1
Four-Seam Fastball,Left,-1.3999999999999999,1.6000000000000001,13,,,0,0,,,,,,,0,0,,,
Curve,Left,0.5,-0.20000000000000001,11,,,0,0,,,,,,,0,0,,,
Slider,Left,-0.10000000000000001,1,9,2,,3,2,,,,,,,0,1,0,0,1
Curve,Left,0.59999999999999998,-0.10000000000000001,5,,,3,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,2.2000000000000002,2,,,3,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.7,2.1000000000000001,12,,,3,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,2.2000000000000002,11,,,3,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.7,11,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,2.1000000000000001,3,,,2,2,,,,,,,0,1,,,
Curve,Left,0.59999999999999998,0,11,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,2,12,,,1,2,,,,,,,0,1,,,
Curve,Left,0.29999999999999999,0.20000000000000001,13,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.6000000000000001,1.8,6,,,1,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,2.1000000000000001,14,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.6000000000000001,2.1000000000000001,5,9,Fly Ball,3,2,46,46,190.30000000000001,184.59999999999999,82,30,1,1,1,1.25,1
Curve,Right,0.59999999999999998,-0.10000000000000001,14,,,2,2,,,,,,,0,0,,,
Slider,Right,-0.59999999999999998,1.3,14,,,1,2,,,,,,,0,0,,,
Slider,Right,-0.59999999999999998,1,14,,,0,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.5,2.5,6,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.5,2.3999999999999999,8,,,0,0,,,,,,,0,0,,,
Slider,Right,-0.80000000000000004,1.2,13,,,3,2,,,,,,,0,0,0,0.69999999999999996,1
Four-Seam Fastball,Right,-1.6000000000000001,2.7000000000000002,12,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.6000000000000001,2.3999999999999999,11,,,2,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.1000000000000001,2.3999999999999999,11,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3,2.5,1,,,0,1,,,,,,,0,0,,,
Curve,Right,1,-0.40000000000000002,9,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.5,2.2000000000000002,9,2,,2,2,,,,,,,0,0,0,0,1
Curve,Left,0.5,-0.10000000000000001,14,,,1,2,,,,,,,0,0,,,
Slider,Left,-0.40000000000000002,1.5,13,,,0,2,,,,,,,0,0,,,
Slider,Left,-0.29999999999999999,1.2,8,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.7,5,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3,2.2000000000000002,1,8,Fly Ball,2,2,-0.69999999999999996,-0.69999999999999996,-2.5,273.39999999999998,82,28,1,1,0,0,1
Curve,Right,0.5,-0.40000000000000002,7,,,2,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,2.3999999999999999,5,,,2,0,,,,,,,0,1,,,
Curve,Right,0.80000000000000004,-0.40000000000000002,12,,,1,0,,,,,,,0,0,,,
Curve,Right,1.1000000000000001,-0.5,6,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,2.2000000000000002,1,2,,3,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Left,-1.3,2.1000000000000001,14,,,3,2,,,,,,,0,1,,,
Slider,Left,0.20000000000000001,0.40000000000000002,14,,,2,2,,,,,,,0,0,,,
Slider,Left,0.40000000000000002,-0.20000000000000001,14,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.7,2,3,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.8999999999999999,2,,,1,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.6000000000000001,1.8,11,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.7,2.2999999999999998,4,2,,3,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Left,-1.6000000000000001,2.2000000000000002,6,,,3,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,2.1000000000000001,2,,,3,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,2.2000000000000002,2,,,3,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8,13,,,2,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.8999999999999999,12,,,1,0,,,,,,,0,0,,,
Changeup,Left,-2,1.2,13,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.8,1.5,7,6,Ground Ball,3,2,-9.1999999999999993,-9.1999999999999993,-13.9,94.599999999999994,80,-12,1,1,0,0,1
Slider,Right,-0.40000000000000002,1.3999999999999999,9,,,3,2,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3999999999999999,2.7000000000000002,7,,,2,2,,,,,,,0,0,,,
Curve,Right,0.59999999999999998,-0.5,14,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3,2.1000000000000001,4,,,1,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-0.90000000000000002,1.8999999999999999,11,,,0,1,,,,,,,0,0,,,
Slider,Right,-0.5,1.1000000000000001,14,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3999999999999999,2.2000000000000002,7,9,Fly Ball,1,0,46,46,158.59999999999999,154.19999999999999,75,31,1,1,1,0.90000000000000002,1
Curve,Right,0.29999999999999999,-0.5,11,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,2,9,3,Ground Ball,0,1,49.600000000000001,-49.600000000000001,78.700000000000003,68,66,-5,1,1,0,0,1
Changeup,Left,-1.8999999999999999,1.5,4,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.2,2,11,6,Ground Ball,2,1,-16.899999999999999,-16.899999999999999,-31.699999999999999,109.8,75,8,1,1,0,0,1
Slider,Right,-0.29999999999999999,1.1000000000000001,14,,,1,1,,,,,,,0,0,,,
Curve,Right,0.90000000000000002,-0.59999999999999998,9,,,0,1,,,,,,,0,0,,,
Changeup,Right,-1,1.3999999999999999,4,,,0,0,,,,,,,0,0,,,
Slider,Right,-0.59999999999999998,1.1000000000000001,6,5,Ground Ball,0,1,-34.5,-34.5,-41.799999999999997,64.200000000000003,83,4,1,1,0,0,1
Slider,Right,-0.29999999999999999,1.1000000000000001,6,,,0,0,,,,,,,0,0,,,
Curve,Left,0.5,-0.10000000000000001,14,2,,2,2,,,,,,,0,1,0,0,1
Slider,Left,-0.10000000000000001,0.90000000000000002,14,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,2,7,,,1,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1,2.1000000000000001,7,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1,2.2000000000000002,9,,,0,0,,,,,,,0,0,,,
Slider,Right,-0.80000000000000004,1.6000000000000001,14,2,,1,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Right,-1.8,2,12,,,1,2,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3999999999999999,2.2999999999999998,11,,,1,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.5,1.8,11,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.6000000000000001,2,2,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,2,6,7,Ground Ball,2,1,-23.399999999999999,23.399999999999999,-90,212.5,86,4,1,1,1,0.90000000000000002,1
Changeup,Left,-1.8,1.3999999999999999,14,,,1,1,,,,,,,0,0,,,
Changeup,Left,-1.8999999999999999,1.5,7,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,2.1000000000000001,14,,,0,0,,,,,,,0,0,,,
Changeup,Left,-1.8999999999999999,1.3,7,4,Ground Ball,1,0,23.199999999999999,-23.199999999999999,45.700000000000003,106,82,-21,1,1,0,0,1
Changeup,Left,-2,1.3999999999999999,14,,,0,0,,,,,,,0,0,,,
Curve,Right,0.40000000000000002,0,9,2,,1,2,,,,,,,0,0,0,0,1
Four-Seam Fastball,Right,-1.3999999999999999,2.2000000000000002,11,,,0,2,,,,,,,0,0,,,
Curve,Right,0.59999999999999998,-0.20000000000000001,3,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-0.90000000000000002,1.7,4,,,0,0,,,,,,,0,1,,,
Slider,Right,-0.29999999999999999,1.7,14,1,Ground Ball,2,1,37.600000000000001,37.600000000000001,17.800000000000001,23.600000000000001,82,-21,1,1,0,0.90000000000000002,1
Four-Seam Fastball,Right,-1,2.2999999999999998,13,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.6000000000000001,11,6,Popup,3,2,-20.399999999999999,20.399999999999999,-16.399999999999999,48.899999999999999,80,69,1,1,0,0,1
Four-Seam Fastball,Left,-1.3,1.8999999999999999,12,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.6000000000000001,12,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.3999999999999999,11,,,0,2,,,,,,,0,0,,,
Curve,Left,0.40000000000000002,-0.69999999999999996,11,,,0,1,,,,,,,0,0,,,
Curve,Left,0.5,-0.80000000000000004,2,,,0,0,,,,,,,0,0,,,
Slider,Right,-0.10000000000000001,0.90000000000000002,8,7,Line Drive,1,1,-18,-18,-98.900000000000006,310.19999999999999,90,24,1,1,0,0,1
Curve,Right,0.5,-0.40000000000000002,11,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-0.80000000000000004,2,6,,,0,0,,,,,,,0,0,,,
Slider,Left,-0.10000000000000001,0.80000000000000004,5,7,Line Drive,0,2,-5.2000000000000002,5.2000000000000002,-20.300000000000001,234.09999999999999,76,27,1,1,1,0.90000000000000002,1
Four-Seam Fastball,Left,-1.5,1.8999999999999999,5,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1,2,4,,,0,0,,,,,,,0,0,,,
Slider,Left,-0.20000000000000001,0.59999999999999998,11,2,,0,2,,,,,,,0,1,0,0,1
Curve,Left,0.59999999999999998,-0.29999999999999999,5,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.8999999999999999,2,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.5,11,2,,1,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Right,-1.1000000000000001,1.5,11,,,0,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.7,11,,,0,2,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.2,2,4,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-0.90000000000000002,2.1000000000000001,1,,,0,0,,,,,,,0,0,,,
Curve,Left,0.69999999999999996,-0.59999999999999998,4,9,Line Drive,2,2,37.200000000000003,-37.200000000000003,215.69999999999999,284.80000000000001,98,20,1,1,1,1.25,1
Four-Seam Fastball,Left,-0.90000000000000002,2.1000000000000001,5,,,2,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1,2.1000000000000001,14,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.8999999999999999,14,,,0,1,,,,,,,0,0,,,
Changeup,Left,-1.2,1.2,8,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1,1.8,5,3,Ground Ball,0,0,48,-48,77.400000000000006,70.5,97,-8,1,1,0,0,1
Four-Seam Fastball,Right,-1.2,1.8999999999999999,1,9,Line Drive,3,2,23.600000000000001,23.600000000000001,86.299999999999997,197.30000000000001,78,31,1,1,0,0,1
Changeup,Right,-1.7,1.3999999999999999,14,,,2,2,,,,,,,0,0,,,
Slider,Right,-0.10000000000000001,1.1000000000000001,14,,,1,2,,,,,,,0,0,,,
Changeup,Right,-1.3,1.3999999999999999,1,,,1,1,,,,,,,0,1,,,
Slider,Right,-0.10000000000000001,1,14,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.8999999999999999,5,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,2,5,2,,3,2,,,,,,,0,0,0,0,1
Slider,Right,0.40000000000000002,0.80000000000000004,14,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-0.80000000000000004,1.7,2,,,2,2,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3,1.6000000000000001,11,,,1,2,,,,,,,0,0,,,
Curve,Right,0.69999999999999996,-0.10000000000000001,14,,,0,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.5,3,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3,1.7,2,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.7,1.7,12,2,,0,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Left,-1.3,1.7,3,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8999999999999999,2,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-0.90000000000000002,1.8,11,4,Popup,1,1,25.5,25.5,78.700000000000003,164.30000000000001,72,49,1,1,0,0,1
Slider,Right,0.40000000000000002,0.59999999999999998,1,,,1,0,,,,,,,0,1,,,
Slider,Right,0.29999999999999999,0.80000000000000004,11,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.6000000000000001,11,,,3,2,,,,,,,0,0,0,0.69999999999999996,1
Changeup,Left,-1.3,1,13,,,3,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1,1.6000000000000001,12,,,2,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-0.80000000000000004,1.8,14,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.6000000000000001,11,,,0,1,,,,,,,0,0,,,
Changeup,Left,-1.3999999999999999,1.2,4,,,0,0,,,,,,,0,1,,,
Changeup,Left,-1.3999999999999999,1.3,13,9,Ground Ball,3,2,29.699999999999999,-29.699999999999999,99,173.19999999999999,97,-3,1,1,1,0.90000000000000002,1
Curve,Left,0.5,-0.20000000000000001,14,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.7,3,,,2,2,,,,,,,0,1,,,
Curve,Left,0.69999999999999996,-0.59999999999999998,13,,,1,2,,,,,,,0,0,,,
Curve,Left,0.69999999999999996,-0.20000000000000001,14,,,0,2,,,,,,,0,0,,,
Curve,Left,0.59999999999999998,-0.20000000000000001,14,,,0,2,,,,,,,0,1,,,
Curve,Left,0.5,-0.5,9,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1,1.8,9,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.8999999999999999,1,8,Line Drive,0,0,-1.3999999999999999,-1.3999999999999999,-5,258.19999999999999,100,14,1,1,1,0.90000000000000002,1
Slider,Left,0.10000000000000001,0.80000000000000004,5,10,Line Drive,0,0,44.600000000000001,-44.600000000000001,253.69999999999999,258.19999999999999,105,19,1,1,0,2,1
Slider,Left,0.5,0.80000000000000004,9,2,,2,2,,,,,,,0,1,0,0,1
Curve,Left,0.5,-0.40000000000000002,14,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-0.80000000000000004,1.8999999999999999,12,,,1,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1,1.8,11,,,1,2,,,,,,,0,1,,,
Slider,Left,0,0.80000000000000004,7,,,1,1,,,,,,,0,1,,,
Curve,Left,0.80000000000000004,-0.5,11,,,1,0,,,,,,,0,0,,,
Curve,Left,0.69999999999999996,-0.80000000000000004,11,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-0.90000000000000002,1.8,1,8,Fly Ball,3,1,6.4000000000000004,6.4000000000000004,22.899999999999999,194.80000000000001,85,52,1,1,0,0,1
Four-Seam Fastball,Right,-1,2,5,,,3,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.8999999999999999,14,,,2,0,,,,,,,0,0,,,
Slider,Right,0.59999999999999998,0.90000000000000002,14,,,1,0,,,,,,,0,0,,,
Slider,Right,0.20000000000000001,0.59999999999999998,14,,,0,0,,,,,,,0,0,,,
Curve,Right,0.90000000000000002,-0.59999999999999998,5,5,Ground Ball,1,2,-26.399999999999999,-26.399999999999999,-38,80.599999999999994,96,-5,1,1,0,0,1
Four-Seam Fastball,Right,-0.90000000000000002,1.8999999999999999,6,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-0.90000000000000002,1.8999999999999999,3,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1,1.7,5,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1,1.7,7,5,Popup,0,0,-66.099999999999994,66.099999999999994,-71,33.700000000000003,80,69,1,1,0,0,1
Slider,Right,0.20000000000000001,0.69999999999999996,6,8,Ground Ball,2,2,2.3999999999999999,2.3999999999999999,10.199999999999999,224,94,-8,1,1,1,0.90000000000000002,1
Curve,Right,0.40000000000000002,-0.59999999999999998,14,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.8999999999999999,12,,,1,1,,,,,,,0,0,,,
Slider,Right,0.10000000000000001,0.5,8,,,1,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.2,2,14,,,0,0,,,,,,,0,0,,,
Changeup,Left,-1.5,1,11,3,Ground Ball,0,0,47.399999999999999,-47.399999999999999,66,61.600000000000001,71,-34,1,1,0,0,1
Four-Seam Fastball,Left,-0.90000000000000002,1.8999999999999999,11,6,Popup,3,2,-42.100000000000001,42.100000000000001,-50.700000000000003,59.100000000000001,80,69,1,1,0,0,1
Four-Seam Fastball,Left,-1,2.1000000000000001,6,,,3,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-0.59999999999999998,1.8,1,,,3,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-0.59999999999999998,2,8,,,3,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-0.90000000000000002,1.8,11,,,2,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.7,11,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1,1.7,11,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.8,1,4,Popup,0,1,23.399999999999999,23.399999999999999,53.299999999999997,122.5,93,65,1,1,0,0,1
Four-Seam Fastball,Right,-1.2,1.7,6,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.6000000000000001,11,,,3,2,,,,,,,0,0,0,0.69999999999999996,1
Four-Seam Fastball,Left,-1,2,11,,,3,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1,2,12,,,2,1,,,,,,,0,0,,,
Slider,Left,0.20000000000000001,0.69999999999999996,11,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-0.90000000000000002,1.8999999999999999,6,,,1,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-0.90000000000000002,1.6000000000000001,11,,,0,0,,,,,,,0,0,,,
Slider,Left,-0.5,0.69999999999999996,5,4,Ground Ball,2,1,27.5,-27.5,55.899999999999999,107.3,99,-6,1,1,0,0,1
Four-Seam Fastball,Left,-1.2,2.1000000000000001,12,,,1,1,,,,,,,0,0,,,
Changeup,Right,-1.1000000000000001,1.3999999999999999,5,,,1,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3,2.3999999999999999,14,,,0,0,,,,,,,0,0,,,
Curve,Left,0.69999999999999996,-0.5,11,4,Ground Ball,0,2,29.199999999999999,-29.199999999999999,50.799999999999997,90.799999999999997,82,-21,1,1,0,0,1
Four-Seam Fastball,Left,-1.3,2.1000000000000001,2,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,2.2000000000000002,2,,,0,0,,,,,,,0,0,,,
Slider,Right,-0.40000000000000002,1.3,14,2,,2,2,,,,,,,0,1,0,0,1
